feature,f_score,p_value
bidirectional_first_seen_ms,175814.6415941372,0.0
src2dst_first_seen_ms,175814.6415941372,0.0
src2dst_last_seen_ms,175814.61309305977,0.0
bidirectional_last_seen_ms,175814.61183184423,0.0
udps.session_establishment_request_counter,24323.929510127553,0.0
id,22080.742448288067,0.0
dst2src_rst_packets,21013.052751386083,0.0
dst2src_first_seen_ms,20807.44819772474,0.0
dst2src_last_seen_ms,20807.448188554885,0.0
expiration_id,20400.07296994384,0.0
bidirectional_mean_ps,20012.21086308282,0.0
src2dst_duration_ms,17477.19244561227,0.0
bidirectional_duration_ms,17384.9189014911,0.0
src2dst_mean_ps,16613.739468120864,0.0
src2dst_max_ps,16386.87971285543,0.0
src2dst_min_ps,12066.130027294972,0.0
dst2src_min_ps,11958.235432574738,0.0
bidirectional_rst_packets,11821.41377746454,0.0
bidirectional_min_ps,11262.114222359514,0.0
application_is_guessed,10777.296011519617,0.0
bidirectional_fin_packets,10739.395548510358,0.0
src_port,10448.439568675676,0.0
udps.session_deletion_request_counter,9882.53341143319,0.0
dst2src_syn_packets,9481.690394031471,0.0
udps.session_deletion_response_counter,9122.8216317142,0.0
dst2src_fin_packets,8937.044726528724,0.0
udps.session_modification_request_counter,8612.377989157876,0.0
udps.session_modification_response_counter,8607.827488375735,0.0
src2dst_fin_packets,7341.108535319021,0.0
bidirectional_syn_packets,6468.089492302948,0.0
src2dst_syn_packets,5312.449703876547,0.0
protocol,4665.895433808825,0.0
bidirectional_max_piat_ms,4189.601224367661,0.0
src2dst_max_piat_ms,3756.688212300985,0.0
bidirectional_stddev_piat_ms,3186.8329426034147,0.0
application_confidence,2708.7728157658094,0.0
src2dst_stddev_piat_ms,2662.2132712692205,0.0
bidirectional_max_ps,1923.734926936227,0.0
bidirectional_stddev_ps,1886.662948959308,0.0
tunnel_id,1580.9486940634827,0.0
dst_port,1452.3817933415692,0.0
bidirectional_psh_packets,1445.8381982532596,0.0
src2dst_psh_packets,1342.9934952756166,0.0
dst2src_mean_piat_ms,1340.395097028645,0.0
dst2src_bytes,1303.496882010149,0.0
bidirectional_bytes,1242.1959790644753,0.0
src2dst_packets,1218.1480385651973,0.0
bidirectional_packets,1196.4280310720198,0.0
src2dst_bytes,1181.5618451283694,0.0
dst2src_packets,1168.8981853500404,0.0
dst2src_ack_packets,1166.585160194062,0.0
bidirectional_ack_packets,1140.1944134282594,0.0
src2dst_ack_packets,1127.3122533502365,0.0
src2dst_mean_piat_ms,1125.7246118065007,0.0
dst2src_duration_ms,1101.4030033013746,0.0
bidirectional_mean_piat_ms,1098.4630562236941,0.0
dst2src_mean_ps,1053.520540506342,0.0
dst2src_stddev_ps,985.9603085006685,0.0
dst2src_max_ps,811.0021864187273,0.0
src2dst_stddev_ps,753.0210059344469,0.0
dst2src_psh_packets,674.6093314829128,0.0
dst2src_stddev_piat_ms,654.7799200302443,0.0
bidirectional_min_piat_ms,643.2649613892894,0.0
dst2src_min_piat_ms,580.105475479026,0.0
dst2src_max_piat_ms,572.8529560104888,0.0
src2dst_min_piat_ms,543.2713292493363,0.0
udps.session_report_request_counter,495.57377302300495,0.0
src2dst_rst_packets,351.904543632213,0.0
udps.session_report_response_counter,146.4117897580135,4.997810134708218e-186
ip_version,2.034295700469287,0.057538479120632056
vlan_id,,
bidirectional_cwr_packets,,
bidirectional_ece_packets,,
bidirectional_urg_packets,,
src2dst_cwr_packets,,
src2dst_ece_packets,,
src2dst_urg_packets,,
dst2src_cwr_packets,,
dst2src_ece_packets,,
dst2src_urg_packets,,
udps.heartbeat_request_counter,,
udps.heartbeat_response_counter,,
udps.pfd_management_request_counter,,
udps.pfd_management_response_counter,,
udps.association_setup_request_counter,,
udps.association_setup_response_counter,,
udps.association_update_request_counter,,
udps.association_update_response_counter,,
udps.association_release_request_counter,,
udps.association_release_response_counter,,
udps.version_not_supported_response_counter,,
udps.node_report_request_counter,,
udps.node_report_response_counter,,
udps.session_set_deletion_request_counter,,
udps.session_set_deletion_response_counter,,
udps.session_establishment_response_counter,,
