,missing_count,missing_pct,nunique_non_null,dtype
server_fingerprint,174156,98.897205,14,object
client_fingerprint,174128,98.881305,1,object
content_type,170534,96.840396,1,object
user_agent,170389,96.758055,2,object
requested_server_name,168419,95.63936,178,object
label,131066,74.427875,2,float64
udps.association_update_request_counter,1,0.000568,1,float64
udps.association_update_response_counter,1,0.000568,1,float64
udps.association_release_request_counter,1,0.000568,1,float64
udps.association_release_response_counter,1,0.000568,1,float64
udps.version_not_supported_response_counter,1,0.000568,1,float64
udps.node_report_request_counter,1,0.000568,1,float64
udps.node_report_response_counter,1,0.000568,1,float64
udps.session_set_deletion_request_counter,1,0.000568,1,float64
udps.session_set_deletion_response_counter,1,0.000568,1,float64
udps.session_establishment_request_counter,1,0.000568,53,float64
udps.session_establishment_response_counter,1,0.000568,1,float64
udps.session_modification_request_counter,1,0.000568,98,float64
udps.session_modification_response_counter,1,0.000568,97,float64
udps.session_deletion_request_counter,1,0.000568,69,float64
udps.session_deletion_response_counter,1,0.000568,68,float64
udps.session_report_request_counter,1,0.000568,537,float64
udps.session_report_response_counter,1,0.000568,48,float64
id,0,0.0,40155,int64
expiration_id,0,0.0,2,int64
src_ip,0,0.0,115,object
src_mac,0,0.0,33,object
src_oui,0,0.0,33,object
src_port,0,0.0,20284,int64
dst_ip,0,0.0,369,object
dst_mac,0,0.0,29,object
dst_oui,0,0.0,29,object
dst_port,0,0.0,888,int64
protocol,0,0.0,4,int64
ip_version,0,0.0,2,int64
vlan_id,0,0.0,1,int64
tunnel_id,0,0.0,3,int64
bidirectional_first_seen_ms,0,0.0,95340,int64
bidirectional_last_seen_ms,0,0.0,99575,int64
bidirectional_duration_ms,0,0.0,5392,int64
bidirectional_packets,0,0.0,2439,int64
bidirectional_bytes,0,0.0,6467,int64
src2dst_first_seen_ms,0,0.0,95340,int64
src2dst_last_seen_ms,0,0.0,100020,int64
src2dst_duration_ms,0,0.0,5165,int64
src2dst_packets,0,0.0,1949,int64
src2dst_bytes,0,0.0,5201,int64
dst2src_first_seen_ms,0,0.0,28286,int64
dst2src_last_seen_ms,0,0.0,32874,int64
dst2src_duration_ms,0,0.0,3248,int64
dst2src_packets,0,0.0,1647,int64
dst2src_bytes,0,0.0,3559,int64
bidirectional_min_ps,0,0.0,38,int64
bidirectional_mean_ps,0,0.0,5812,float64
bidirectional_stddev_ps,0,0.0,5925,float64
bidirectional_max_ps,0,0.0,202,int64
src2dst_min_ps,0,0.0,48,int64
src2dst_mean_ps,0,0.0,3983,float64
src2dst_stddev_ps,0,0.0,3150,float64
src2dst_max_ps,0,0.0,92,int64
dst2src_min_ps,0,0.0,21,int64
dst2src_mean_ps,0,0.0,3336,float64
dst2src_stddev_ps,0,0.0,2956,float64
dst2src_max_ps,0,0.0,201,int64
bidirectional_min_piat_ms,0,0.0,345,int64
bidirectional_mean_piat_ms,0,0.0,24865,float64
bidirectional_stddev_piat_ms,0,0.0,50511,float64
bidirectional_max_piat_ms,0,0.0,993,int64
src2dst_min_piat_ms,0,0.0,203,int64
src2dst_mean_piat_ms,0,0.0,22762,float64
src2dst_stddev_piat_ms,0,0.0,47480,float64
src2dst_max_piat_ms,0,0.0,1213,int64
dst2src_min_piat_ms,0,0.0,342,int64
dst2src_mean_piat_ms,0,0.0,8306,float64
dst2src_stddev_piat_ms,0,0.0,10603,float64
dst2src_max_piat_ms,0,0.0,2075,int64
bidirectional_syn_packets,0,0.0,5,int64
bidirectional_cwr_packets,0,0.0,1,int64
bidirectional_ece_packets,0,0.0,1,int64
bidirectional_urg_packets,0,0.0,1,int64
bidirectional_ack_packets,0,0.0,2015,int64
bidirectional_psh_packets,0,0.0,1172,int64
bidirectional_rst_packets,0,0.0,9,int64
bidirectional_fin_packets,0,0.0,7,int64
src2dst_syn_packets,0,0.0,3,int64
src2dst_cwr_packets,0,0.0,1,int64
src2dst_ece_packets,0,0.0,1,int64
src2dst_urg_packets,0,0.0,1,int64
src2dst_ack_packets,0,0.0,1423,int64
src2dst_psh_packets,0,0.0,978,int64
src2dst_rst_packets,0,0.0,9,int64
src2dst_fin_packets,0,0.0,6,int64
dst2src_syn_packets,0,0.0,3,int64
dst2src_cwr_packets,0,0.0,1,int64
dst2src_ece_packets,0,0.0,1,int64
dst2src_urg_packets,0,0.0,1,int64
dst2src_ack_packets,0,0.0,1632,int64
dst2src_psh_packets,0,0.0,286,int64
dst2src_rst_packets,0,0.0,4,int64
dst2src_fin_packets,0,0.0,5,int64
application_name,0,0.0,41,object
application_category_name,0,0.0,13,object
application_is_guessed,0,0.0,2,int64
application_confidence,0,0.0,5,int64
udps.heartbeat_request_counter,0,0.0,1,int64
udps.heartbeat_response_counter,0,0.0,1,int64
udps.pfd_management_request_counter,0,0.0,1,int64
udps.pfd_management_response_counter,0,0.0,1,int64
udps.association_setup_request_counter,0,0.0,1,int64
udps.association_setup_response_counter,0,0.0,1,int64
__label,0,0.0,7,object
__source_file,0,0.0,7,object
