,zero_pct,dtype
vlan_id,100.0,int64
bidirectional_urg_packets,100.0,int64
src2dst_urg_packets,100.0,int64
udps.heartbeat_request_counter,100.0,int64
udps.heartbeat_response_counter,100.0,int64
udps.pfd_management_request_counter,100.0,int64
src2dst_ece_packets,100.0,int64
src2dst_cwr_packets,100.0,int64
udps.pfd_management_response_counter,100.0,int64
dst2src_urg_packets,100.0,int64
udps.association_setup_response_counter,100.0,int64
dst2src_ece_packets,100.0,int64
dst2src_cwr_packets,100.0,int64
udps.association_setup_request_counter,100.0,int64
bidirectional_ece_packets,100.0,int64
bidirectional_cwr_packets,100.0,int64
udps.session_set_deletion_request_counter,99.999432,float64
udps.version_not_supported_response_counter,99.999432,float64
udps.node_report_response_counter,99.999432,float64
udps.node_report_request_counter,99.999432,float64
udps.association_update_response_counter,99.999432,float64
udps.association_update_request_counter,99.999432,float64
udps.association_release_request_counter,99.999432,float64
udps.association_release_response_counter,99.999432,float64
udps.session_establishment_response_counter,99.999432,float64
udps.session_set_deletion_response_counter,99.999432,float64
src2dst_rst_packets,98.995446,int64
udps.session_establishment_request_counter,97.994866,float64
udps.session_deletion_response_counter,97.789299,float64
udps.session_deletion_request_counter,97.654715,float64
udps.session_modification_response_counter,95.894332,float64
udps.session_modification_request_counter,95.893196,float64
udps.session_report_response_counter,95.854013,float64
udps.session_report_request_counter,95.766562,float64
dst2src_psh_packets,93.19697,int64
dst2src_min_piat_ms,90.562641,int64
src2dst_psh_packets,89.069155,int64
dst2src_fin_packets,88.259946,int64
dst2src_syn_packets,87.805086,int64
bidirectional_psh_packets,87.349658,int64
dst2src_stddev_piat_ms,86.350782,float64
src2dst_fin_packets,86.1384,int64
expiration_id,83.69885,int64
bidirectional_fin_packets,83.437631,int64
dst2src_stddev_ps,83.338255,float64
src2dst_stddev_ps,81.074175,float64
dst2src_mean_piat_ms,80.646004,float64
dst2src_duration_ms,80.646004,int64
dst2src_max_piat_ms,80.646004,int64
dst2src_rst_packets,80.430783,int64
bidirectional_rst_packets,79.446672,int64
bidirectional_min_piat_ms,77.512521,int64
src2dst_syn_packets,72.509625,int64
bidirectional_syn_packets,72.509625,int64
src2dst_ack_packets,70.985474,int64
src2dst_min_piat_ms,69.756613,int64
dst2src_ack_packets,65.624255,int64
application_is_guessed,65.228452,int64
src2dst_stddev_piat_ms,62.038183,float64
bidirectional_stddev_ps,60.667356,float64
bidirectional_stddev_piat_ms,57.984758,float64
bidirectional_ack_packets,57.864371,int64
src2dst_max_piat_ms,57.399289,int64
src2dst_mean_piat_ms,57.399289,float64
src2dst_duration_ms,57.399289,int64
bidirectional_max_piat_ms,53.641154,int64
bidirectional_duration_ms,53.641154,int64
bidirectional_mean_piat_ms,53.641154,float64
dst2src_bytes,51.042033,int64
dst2src_packets,51.042033,int64
dst2src_min_ps,51.042033,int64
dst2src_last_seen_ms,51.042033,int64
dst2src_mean_ps,51.042033,float64
dst2src_max_ps,51.042033,int64
dst2src_first_seen_ms,51.042033,int64
tunnel_id,44.44741,int64
application_confidence,43.431498,int64
src_port,12.959261,int64
dst_port,12.959261,int64
label,1.823984,float64
id,0.010222,int64
bidirectional_packets,0.0,int64
bidirectional_bytes,0.0,int64
bidirectional_first_seen_ms,0.0,int64
bidirectional_last_seen_ms,0.0,int64
bidirectional_max_ps,0.0,int64
bidirectional_mean_ps,0.0,float64
bidirectional_min_ps,0.0,int64
src2dst_mean_ps,0.0,float64
src2dst_max_ps,0.0,int64
src2dst_packets,0.0,int64
ip_version,0.0,int64
protocol,0.0,int64
src2dst_bytes,0.0,int64
src2dst_first_seen_ms,0.0,int64
src2dst_last_seen_ms,0.0,int64
src2dst_min_ps,0.0,int64
