feature,shap_abs_mean
bidirectional_min_ps,0.06013839739283311
src2dst_min_ps,0.05235180807529815
src2dst_duration_ms,0.041104993294085075
fe_bidirectional_piat_burstiness,0.023429294596561626
bidirectional_mean_piat_ms,0.0219480200459061
fe_ack_rate_imbalance,0.009928502507720026
fe_src2dst_min_over_mean_ps,0.009149046830277084
fe_packets_per_ms_bi,0.004909539778428799
dst2src_stddev_ps,0.00473200350937182
src2dst_stddev_ps,0.003464092549445838
fe_src2dst_piat_burstiness,0.0030328744134628777
dst2src_mean_piat_ms,0.00265924601064237
bidirectional_stddev_ps,0.001984467835604685
application_is_guessed,0.0019523077219922849
protocol,0.001625748932769595
fe_syn_rate_bi,0.0012662221646834678
dst2src_stddev_piat_ms,0.001041957515381839
fe_dst2src_ack_rate,0.00044640419278005214
bidirectional_min_piat_ms,0.00030601622384418987
fe_dst2src_piat_burstiness,7.621784041936956e-05
dst2src_min_piat_ms,4.4585394316341055e-05
fe_session_rep_req_per_packet,2.9415503713889974e-05
fe_session_rep_req_resp_imbalance,2.410544403485432e-05
fe_dst2src_psh_rate,1.4786395587954855e-05
fe_src2dst_psh_rate,3.5483578541604196e-06
fe_session_rep_resp_per_packet,3.3292795781116295e-06
fe_fin_rate_bi,1.0129787567218695e-06
fe_psh_rate_bi,9.537057629515723e-07
fe_dst2src_fin_rate,7.303587337030064e-07
fe_dst2src_syn_rate,5.865205763570022e-07
fe_src2dst_fin_rate,2.7027962176976487e-07
fe_src2dst_rst_rate,2.088515652730048e-09
fe_session_mod_req_per_packet,0.0
fe_session_est_req_per_packet,0.0
fe_session_del_resp_per_packet,0.0
fe_session_del_req_resp_imbalance,0.0
fe_session_del_req_per_packet,0.0
fe_session_mod_req_resp_imbalance,0.0
fe_session_mod_resp_per_packet,0.0
ip_version,0.0
