round,macro_f1_weighted,macro_precision_weighted,macro_recall_weighted
1,0.3742909301257004,0.3739967423896953,0.5386042013248066
2,0.385704534335764,0.5419382688517538,0.5561297754658427
3,0.5669069689006709,0.5659359018561916,0.6710317809431292
4,0.5681906042342336,0.5256520524862633,0.6864851063303459
5,0.6398259261094938,0.647580644345698,0.7255924702423061
6,0.727241114285545,0.8276393932058488,0.7601847961280801
7,0.8081210973573436,0.8324844014455348,0.828698370485198
8,0.8364646722791116,0.8444252486163002,0.8599819834182915
9,0.836599947727445,0.8444490759813021,0.8619354122532285
10,0.8145556029728884,0.8475944663709164,0.8287254993088805
11,0.8336984307823344,0.862891814723017,0.8425643447584049
12,0.8337164862344324,0.8627108513459891,0.8426934502074405
13,0.8568255535684113,0.8641460115811647,0.8791376718353382
14,0.8639640173423131,0.8705651432230987,0.8848799725507944
15,0.8640620761223133,0.8703141800775521,0.8851372752076847
16,0.8523850431922442,0.8553150282229618,0.8849701384362763
17,0.8520650921478276,0.8547738111214539,0.8850903720064395
18,0.8577316040169153,0.8601148084178117,0.8904784450907192
19,0.8605717068709011,0.8631709582577767,0.8922569567022701
20,0.8761805418475046,0.8786920458362493,0.9055032367756944
21,0.8760520069552051,0.8787473068079512,0.9056332525346633
22,0.8767138560667018,0.8794270855579813,0.905762879219898
23,0.8749737819476475,0.8777666509611034,0.9027990062602889
24,0.875088000013587,0.87783256093472,0.9019755627021874
25,0.8720535241723624,0.8743094287902909,0.9009281923208265
26,0.8693838371884869,0.8714231166067347,0.8992403770941095
27,0.8703561573925237,0.8722858879775132,0.900374480144323
28,0.8720547525177933,0.8741208296747794,0.902201985009617
29,0.9042931681439826,0.9047763781281472,0.9251937310039512
30,0.9055386339407404,0.9060530482871663,0.926304741593873
31,0.9060594231377549,0.9067234882254207,0.9267898881607544
32,0.9098212447915577,0.9109991133528064,0.9302954646004431
33,0.9100951327749642,0.9113202595077143,0.9304524119884259
34,0.9105936003806911,0.9120280898097143,0.9307147271803589
35,0.9111487409609161,0.9131431119544314,0.9306464785858661
36,0.9110729844764436,0.9128645093835412,0.9306947550100048
37,0.9104595827766304,0.9121013542349867,0.9304556923852781
38,0.9104162594034666,0.911981757309084,0.9306058016176326
39,0.9105795426789559,0.9104332256051608,0.9322896124737785
40,0.9098099101118242,0.9094139712838113,0.9319365109346138
41,0.9057482079939386,0.9038826723145569,0.9297647812621644
42,0.9045120189077319,0.9026044356580635,0.9288509067430539
43,0.9056745816210339,0.9035675596879096,0.9298553455582376
44,0.9055919682811564,0.9036195093452483,0.9294020635984629
45,0.9064630551892118,0.9047730635477816,0.9295731428075951
46,0.9106413230938286,0.9112191786961645,0.9311909382776796
47,0.8801126102907599,0.8829294286572172,0.9097977461007809
48,0.8799011391875704,0.8826939636693208,0.9097999929931638
49,0.8803345791131574,0.883086141376034,0.910508420739628
50,0.8803649547375116,0.8830277044426771,0.9106856961237475
